"League"	"LID"	"CID"	"Club"	"Season"	"MostHomeGoals"	"MostAwayGoals"	"LargestMarginofVictory"	"LargestMarginofDefeat"	"LongestWinningStreak"	"LongestUnbeatenStreak"	"LongestLosingStreak"	"LongestWinlessStreak"	"LargestAttendance"	"LowestAttendance"	"AverageAttendance"	"AggregatedAttendance"
"188"	"La_Liga"	15	94	"Valencia"	2005	5	3	4	2	5	13	1	6	NA	NA	NA	NA
"189"	"La_Liga"	15	94	"Valencia"	2006	4	2	4	3	6	6	3	6	NA	NA	NA	NA
"190"	"La_Liga"	15	94	"Valencia"	2007	3	5	4	6	5	5	4	9	52000	20000	39750	318000
"191"	"La_Liga"	15	94	"Valencia"	2008	4	3	4	4	5	7	2	5	55000	7000	36736	698000
"192"	"La_Liga"	15	94	"Valencia"	2009	4	4	3	3	4	9	1	3	55000	30000	40842	776000
"193"	"La_Liga"	15	94	"Valencia"	2010	5	4	5	4	5	11	2	4	55000	28000	41599	790395
"194"	"La_Liga"	15	94	"Valencia"	2011	4	3	4	4	3	6	2	2	50000	29500	42116	800211
"195"	"La_Liga"	15	94	"Valencia"	2012	5	4	4	5	4	5	2	3	53000	3000	35800	680200
"196"	"La_Liga"	15	94	"Valencia"	2013	5	3	5	3	3	6	3	4	45000	25860	34009	646174
"197"	"La_Liga"	15	94	"Valencia"	2014	4	4	4	3	4	10	2	3	51200	37500	43843	833022
"198"	"La_Liga"	15	94	"Valencia"	2015	4	5	4	3	3	3	4	12	47217	27876	37399	710595
"199"	"La_Liga"	15	94	"Valencia"	2016	4	3	3	4	3	3	4	7	46804	23121	33919	644477
"200"	"La_Liga"	15	88	"Espanyol"	2000	5	3	5	2	3	7	4	4	NA	NA	NA	NA
"201"	"La_Liga"	15	88	"Espanyol"	2001	3	2	2	4	2	8	3	4	47900	6000	21869	393650
"202"	"La_Liga"	15	88	"Espanyol"	2002	3	4	3	3	2	12	4	5	51100	12400	25847	439400
"203"	"La_Liga"	15	88	"Espanyol"	2003	3	5	4	4	2	3	6	8	51700	9950	24011	432200
"204"	"La_Liga"	15	88	"Espanyol"	2004	4	4	3	4	3	4	2	4	39500	15150	23160	277924
"205"	"La_Liga"	15	88	"Espanyol"	2005	5	2	5	5	2	3	3	7	NA	NA	NA	NA
"206"	"La_Liga"	15	88	"Espanyol"	2006	3	3	2	4	3	10	2	4	NA	NA	NA	NA
"207"	"La_Liga"	15	88	"Espanyol"	2007	3	3	3	4	4	14	4	10	30000	9004	20256	162052
"208"	"La_Liga"	15	88	"Espanyol"	2008	3	3	3	4	4	6	4	14	48000	10000	24272	461175
"209"	"La_Liga"	15	88	"Espanyol"	2009	3	3	3	4	2	5	5	7	45000	15000	26062	469130
"210"	"La_Liga"	15	88	"Espanyol"	2010	4	3	4	4	3	5	4	5	39000	17000	27736	527000
"211"	"La_Liga"	15	88	"Espanyol"	2011	5	3	4	5	3	6	4	5	36000	16627	26483	476707
"212"	"La_Liga"	15	88	"Espanyol"	2012	3	4	4	4	3	6	3	6	30023	15923	21369	406012
"213"	"La_Liga"	15	88	"Espanyol"	2013	4	4	3	3	2	5	3	8	31666	12650	20559	390636
"214"	"La_Liga"	15	88	"Espanyol"	2014	3	3	3	4	2	5	2	5	30253	12600	18720	355682
"215"	"La_Liga"	15	88	"Espanyol"	2015	4	4	2	6	2	3	3	8	27395	12461	18507	351635
"216"	"La_Liga"	15	88	"Espanyol"	2016	4	4	3	3	3	9	2	4	31082	14813	20170	383247
"217"	"La_Liga"	15	3752	"Eibar"	2014	5	3	3	4	2	2	8	11	6065	4008	4815	91492
"218"	"La_Liga"	15	3752	"Eibar"	2015	5	4	4	4	4	4	4	8	5941	4215	5203	98866
"219"	"La_Liga"	15	3752	"Eibar"	2016	4	4	4	4	3	5	3	4	6740	3576	5322	101126
"220"	"La_Liga"	15	96	"Alaves"	2000	4	3	4	2	2	5	4	4	NA	NA	NA	NA
"221"	"La_Liga"	15	96	"Alaves"	2001	3	3	2	4	2	3	4	4	16583	11000	13583	258094
"222"	"La_Liga"	15	96	"Alaves"	2002	3	3	3	6	1	4	4	9	19000	6656	14872	282578
"223"	"La_Liga"	15	96	"Alaves"	2005	3	2	2	3	1	3	3	6	NA	NA	NA	NA
"224"	"La_Liga"	15	96	"Alaves"	2016	3	4	3	6	3	6	3	4	19840	13265	16464	312818
"225"	"La_Liga"	15	99	"Malaga"	2000	3	3	3	3	3	3	3	5	NA	NA	NA	NA
"226"	"La_Liga"	15	99	"Malaga"	2001	3	2	2	4	2	6	2	5	30000	7000	16941	288000
"227"	"La_Liga"	15	99	"Malaga"	2002	4	3	4	4	3	5	4	6	34500	11000	21278	361728
"228"	"La_Liga"	15	99	"Malaga"	2003	5	2	4	5	3	5	6	6	23000	8000	19388	349000
